Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1109 信大,水泥工業,1109,2014,2,2014-08-14,2014-08-14,14.547500000000005,0.625,0.076025,1.0,12.94,1.0,1109,2015-03-31,13.47,0.04095826893353949,229,0.000175306636681416,0.00017885706957877505
1215 卜蜂,食品工業,1215,2016,1,2016-05-15,2016-05-16,6.6925,0.3194444444444444,0.062150000000000025,1.0,26.21,1.0,1215,2017-05-15,55.57,1.1201831362075545,364,0.0020666999115077633,0.0030774261983724026
1229 聯華,食品工業,1229,2015,2,2015-08-14,2015-08-14,10.8825,0.5555555555555554,0.06192499999999997,1.0,15.64,1.0,1229,2015-11-16,15.9,0.01662404092071612,94,0.0001754129799622639,0.00017685149915655447
1229 聯華,食品工業,1229,2016,1,2016-05-15,2016-05-16,11.697500000000002,0.15151515151515146,0.06452499999999997,1.0,16.56,1.0,1229,2016-08-15,18.26,0.10265700483091811,91,0.0010744529236028644,0.0011280989541859133
1229 聯華,食品工業,1229,2016,4,2017-03-31,2017-03-31,11.290000000000004,4.6000000000000005,0.061149999999999975,1.0,22.9,1.0,1229,2017-05-15,23.98,0.0471615720524019,45,0.0010245965193975692,0.00104803493449782
1232 大統益,食品工業,1232,2015,2,2015-08-14,2015-08-14,11.5675,0.19565217391304351,0.06342500000000001,1.0,63.81,1.0,1232,2016-03-31,70.22,0.10045447422034148,230,0.000416274674178263,0.0004367585835667021
1232 大統益,食品工業,1232,2016,2,2016-08-14,2016-08-15,11.355,0.5363636363636362,0.065575,1.0,76.76,1.0,1232,2016-11-14,79.6,0.03699843668577363,91,0.0003993151084762392,0.0004065762273161937
1232 大統益,食品工業,1232,2016,4,2017-03-31,2017-03-31,12.294999999999998,0.1751824817518248,0.0612,1.0,86.43,1.0,1232,2017-05-15,86.33,-0.0011570056693278596,45,-2.5725791688691046e-05,-2.571123709617466e-05
1305 華夏,塑膠工業,1305,2016,3,2016-11-14,2016-11-14,7.152499999999994,2.333333333333333,0.06,1.0,21.8,1.0,1305,2017-05-15,24.78,0.1366972477064221,182,0.0007042418531724159,0.0007510837786067148
1310 台苯,塑膠工業,1310,2016,3,2016-11-14,2016-11-14,7.809999999999999,4.066666666666666,0.0605,1.0,16.49,1.0,1310,2017-05-15,21.13,0.2813826561552457,182,0.001363234377157907,0.0015460585503035479
1323 永裕,塑膠工業,1323,2016,1,2016-05-15,2016-05-16,6.172499999999999,0.30769230769230776,0.060275,1.0,29.02,1.0,1323,2017-03-31,31.6,0.08890420399724341,319,0.0002670321142428378,0.00027869656425468154
1442 名軒,建材營造,1442,2014,4,2015-03-31,2015-03-31,11.802499999999995,2.4,0.113925,1.0,17.15,1.0,1442,2015-05-15,17.15,0.0,45,0.0,0.0
1442 名軒,建材營造,1442,2015,2,2015-08-14,2015-08-14,13.56,2.043478260869565,0.097975,1.0,14.7,1.0,1442,2016-03-31,14.29,-0.027891156462585,230,-0.00012298157559342826,-0.00012126589766341304
1451 年興,紡織纖維,1451,2016,2,2016-08-14,2016-08-15,10.174999999999997,3.333333333333333,0.06995000000000004,1.0,35.8,1.0,1451,2016-11-14,35.28,-0.014525139664804398,91,-0.00016077457183438781,-0.00015961691939345493
1452 宏益,紡織纖維,1452,2014,2,2014-08-14,2014-08-14,12.479999999999995,1.0,0.06475,1.0,10.1,1.0,1452,2015-03-31,19.31,0.9118811881188118,229,0.002834085621812976,0.003982013921916209
1452 宏益,紡織纖維,1452,2015,1,2015-05-15,2015-05-15,10.417499999999997,1.2758620689655176,0.06462500000000003,1.0,25.18,1.0,1452,2016-03-31,21.36,-0.15170770452740268,321,-0.0005124232287304631,-0.00047260967142493044
1452 宏益,紡織纖維,1452,2016,4,2017-03-31,2017-03-31,11.375,0.6296296296296295,0.07785,1.0,20.65,1.0,1452,2017-05-15,20.94,0.01404358353510915,45,0.00030995660518806645,0.0003120796341135367
1465 偉全,紡織纖維,1465,2015,3,2015-11-14,2015-11-16,10.905,1.272727272727273,0.0606,1.0,11.97,1.0,1465,2016-03-31,13.04,0.08939014202172091,136,0.000629742593840632,0.0006572804560420655
1465 偉全,紡織纖維,1465,2016,4,2017-03-31,2017-03-31,11.5775,1.1666666666666667,0.0616,1.0,12.4,1.0,1465,2017-05-15,11.97,-0.0346774193548387,45,-0.0007839803720335325,-0.0007706093189964156
1513 中興電,電機機械,1513,2015,3,2015-11-14,2015-11-16,9.222499999999998,1.6551724137931036,0.06415000000000001,1.0,15.48,1.0,1513,2016-03-31,16.29,0.05232558139534871,136,0.00037508911107297926,0.0003847469220246229
1513 中興電,電機機械,1513,2016,1,2016-05-15,2016-05-16,8.952499999999997,0.2,0.06385000000000003,1.0,15.84,1.0,1513,2016-11-14,16.81,0.0612373737373737,182,0.0003266223461380058,0.0003364690864690863
1521 大億,電機機械,1521,2014,1,2014-05-15,2014-05-15,12.602499999999996,0.8873239436619721,0.063325,1.0,64.87,1.0,1521,2015-03-31,74.7,0.15153383690457845,320,0.00044101854795264295,0.00047354324032680765
1521 大億,電機機械,1521,2016,4,2017-03-31,2017-03-31,11.892499999999998,0.9207920792079208,0.061825000000000026,1.0,76.0,1.0,1521,2017-05-15,76.94,0.012368421052631584,45,0.00027320524793150724,0.00027485380116959077
1527 鑽全,電機機械,1527,2014,1,2014-05-15,2014-05-15,8.969999999999997,0.34883720930232553,0.07427500000000001,1.0,32.93,1.0,1527,2014-08-14,36.75,0.1160036440935317,91,0.0012068169508776538,0.0012747653197091396
