Company,Code,Industry,Year,Season,announce_day,EPS,PE,Divdend_Rate,TTM_PE,EPS_growth,Expeceted_Dividend_Rate
1101 台泥,1101,水泥工業,2013,1,2013-05-15,0.38,12.6,0.0507,,,
1101 台泥,1101,水泥工業,2013,2,2013-08-14,0.7,10.52,0.051500000000000004,,,
1101 台泥,1101,水泥工業,2013,3,2013-11-14,0.97,9.71,0.0444,,,
1101 台泥,1101,水泥工業,2013,4,2014-03-31,0.66,9.38,0.049699999999999994,10.5525,,0.049075
1101 台泥,1101,水泥工業,2014,1,2014-05-15,0.5,8.79,0.0489,9.6,0.3157894736842105,0.048625
1101 台泥,1101,水泥工業,2014,2,2014-08-14,0.87,7.8,0.0509,8.919999999999998,0.24285714285714294,0.048475000000000004
1101 台泥,1101,水泥工業,2014,3,2014-11-14,0.87,7.99,0.0508,8.489999999999998,-0.10309278350515462,0.05007500000000001
1101 台泥,1101,水泥工業,2014,4,2015-03-31,0.7,7.62,0.0574,8.049999999999997,0.06060606060606049,0.05200000000000001
1101 台泥,1101,水泥工業,2015,1,2015-05-15,0.22,8.53,0.0565,7.984999999999998,-0.56,0.05390000000000002
1101 台泥,1101,水泥工業,2015,2,2015-08-14,0.61,8.96,0.0639,8.274999999999999,-0.2988505747126437,0.05715000000000002
1101 台泥,1101,水泥工業,2015,3,2015-11-14,0.26,11.07,0.0747,9.044999999999998,-0.7011494252873564,0.06312500000000001
1101 台泥,1101,水泥工業,2015,4,2016-03-31,0.48,11.8,0.0487,10.089999999999998,-0.3142857142857143,0.06095000000000002
1101 台泥,1101,水泥工業,2016,1,2016-05-15,0.06,15.82,0.042199999999999994,11.912499999999998,-0.7272727272727273,0.05737500000000002
1101 台泥,1101,水泥工業,2016,2,2016-08-14,0.54,15.68,0.0415,13.592499999999998,-0.11475409836065566,0.051775000000000015
1101 台泥,1101,水泥工業,2016,3,2016-11-14,0.63,12.66,0.0373,13.989999999999997,1.423076923076923,0.04242500000000002
1101 台泥,1101,水泥工業,2016,4,2017-03-31,0.49,10.54,0.041299999999999996,13.674999999999997,0.020833333333333353,0.04057500000000002
1101 台泥,1101,水泥工業,2017,1,2017-05-15,0.23,9.7,0.039900000000000005,12.144999999999998,2.8333333333333335,0.04000000000000003
1102 亞泥,1102,水泥工業,2013,1,2013-05-15,0.4,19.04,0.0466,,,
