Company,Industry,Code,Year,Season,announce_day,Date,TTM_PE,EPS_growth,Expeceted_Dividend_Rate,Position,Close,Position_new,Code_out,Date_out,Close_out,Return,holding_days,Daily_Return_geometry,Daily_Return_arithmetic
1101 台泥,水泥工業,1101,2014,1,2014-05-15,2014-05-15,9.6,0.3157894736842105,0.048625,1.0,37.2,1.0,1101,2014-11-14,38.89,0.0454301075268817,183,0.00024280754340999522,0.0002482519536988071
1101 台泥,水泥工業,1101,2014,4,2015-03-31,2015-03-31,8.049999999999997,0.06060606060606049,0.05200000000000001,1.0,38.12,1.0,1101,2015-05-15,36.73,-0.03646379853095494,45,-0.0008251087205362051,-0.0008103066340212208
1101 台泥,水泥工業,1101,2016,3,2016-11-14,2016-11-14,13.989999999999995,1.4230769230769231,0.04242500000000002,1.0,35.56,1.0,1101,2017-03-31,34.84,-0.020247469066366652,137,-0.0001492973114295415,-0.00014779174500997557
1102 亞泥,水泥工業,1102,2014,1,2014-05-15,2014-05-15,11.695,0.17499999999999988,0.046175,1.0,32.59,1.0,1102,2015-03-31,34.36,0.05431113838600776,320,0.00016528742179389155,0.00016972230745627425
1104 環泥,水泥工業,1104,2015,4,2016-03-31,2016-03-31,10.852500000000004,0.35714285714285704,0.04074999999999998,1.0,19.51,1.0,1104,2017-03-31,24.68,0.26499231163505876,365,0.0006442239831963015,0.0007260063332467364
1108 幸福,水泥工業,1108,2014,3,2014-11-14,2014-11-14,14.637500000000005,0.4285714285714285,0.049200000000000015,1.0,8.37,1.0,1108,2015-08-14,8.86,0.05854241338112298,273,0.00020842054480674221,0.00021444107465612815
1108 幸福,水泥工業,1108,2015,3,2015-11-14,2015-11-16,7.750000000000003,0.15,0.05697500000000001,1.0,8.65,1.0,1108,2016-03-31,8.82,0.01965317919075149,136,0.00014311721878401684,0.00014450867052023155
1109 信大,水泥工業,1109,2014,2,2014-08-14,2014-08-14,14.547500000000005,0.625,0.076025,1.0,12.94,1.0,1109,2015-03-31,13.47,0.04095826893353949,229,0.000175306636681416,0.00017885706957877505
1203 味王,食品工業,1203,2014,4,2015-03-31,2015-03-31,10.027500000000003,13.999999999999998,0.04275,1.0,20.75,1.0,1203,2016-03-31,19.77,-0.04722891566265064,366,-0.00013217872125736996,-0.0001290407531766411
1203 味王,食品工業,1203,2016,2,2016-08-14,2016-08-15,9.540000000000003,0.16666666666666666,0.04662499999999999,1.0,20.09,1.0,1203,2016-11-14,21.17,0.053758088601294274,91,0.0005755821368294001,0.0005907482263878492
1210 大成,食品工業,1210,2014,1,2014-05-15,2014-05-15,10.395,0.5111111111111112,0.0412,1.0,19.39,1.0,1210,2014-08-14,23.17,0.19494584837545137,91,0.0019590688815263047,0.002142262070059905
1215 卜蜂,食品工業,1215,2014,1,2014-05-15,2014-05-15,6.882500000000001,1.8064516129032258,0.048575000000000014,1.0,18.61,1.0,1215,2014-11-14,20.4,0.09618484685652873,183,0.0005019610780019335,0.000525600256046605
1215 卜蜂,食品工業,1215,2016,1,2016-05-15,2016-05-16,6.6925,0.3194444444444444,0.062150000000000025,1.0,26.21,1.0,1215,2017-05-15,55.57,1.1201831362075545,364,0.0020666999115077633,0.0030774261983724026
1220 台榮,食品工業,1220,2016,2,2016-08-14,2016-08-15,13.767499999999998,0.8235294117647057,0.041675,1.0,10.21,1.0,1220,2016-11-14,10.11,-0.009794319294809117,91,-0.00010815458102753084,-0.00010762988236053975
1220 台榮,食品工業,1220,2016,4,2017-03-31,2017-03-31,10.144999999999996,0.1052631578947368,0.048875,1.0,10.49,1.0,1220,2017-05-15,10.21,-0.026692087702573808,45,-0.0006010368656393927,-0.0005931575045016402
1229 聯華,食品工業,1229,2014,1,2014-05-15,2014-05-15,11.47,1.8888888888888888,0.051675,1.0,14.36,1.0,1229,2014-11-14,14.75,0.027158774373259087,183,0.0001464397877386503,0.0001484086031325633
1229 聯華,食品工業,1229,2015,2,2015-08-14,2015-08-14,10.8825,0.5555555555555554,0.06192499999999997,1.0,15.64,1.0,1229,2015-11-16,15.9,0.01662404092071612,94,0.0001754129799622639,0.00017685149915655447
1229 聯華,食品工業,1229,2016,1,2016-05-15,2016-05-16,11.697500000000002,0.15151515151515146,0.06452499999999997,1.0,16.56,1.0,1229,2016-08-15,18.26,0.10265700483091811,91,0.0010744529236028644,0.0011280989541859133
1229 聯華,食品工業,1229,2016,3,2016-11-14,2016-11-14,12.170000000000002,1.108108108108108,0.05879999999999998,1.0,19.53,1.0,1229,2017-05-15,23.98,0.22785458269329228,182,0.0011284846376922175,0.001251948256556551
1231 聯華食,食品工業,1231,2016,2,2016-08-14,2016-08-15,10.560000000000008,1.4285714285714288,0.04195000000000002,1.0,27.76,1.0,1231,2016-11-14,27.07,-0.024855907780979902,91,-0.0002765555098508399,-0.0002731418437470319
1231 聯華食,食品工業,1231,2016,4,2017-03-31,2017-03-31,9.687500000000009,0.3466666666666667,0.04660000000000001,1.0,31.67,1.0,1231,2017-05-15,30.08,-0.050205241553520796,45,-0.0011439976123281959,-0.0011156720345226845
1232 大統益,食品工業,1232,2014,1,2014-05-15,2014-05-15,13.345,0.3712121212121212,0.05365,1.0,61.69,1.0,1232,2014-08-14,60.28,-0.022856216566704446,91,-0.00025404980589516235,-0.0002511672150187302
1232 大統益,食品工業,1232,2014,3,2014-11-14,2014-11-14,13.277500000000002,0.4307692307692308,0.05435,1.0,60.11,1.0,1232,2015-05-15,65.26,0.08567626018965235,182,0.0004517672584891663,0.0004707486823607272
1232 大統益,食品工業,1232,2015,2,2015-08-14,2015-08-14,11.5675,0.19565217391304351,0.06342500000000001,1.0,63.81,1.0,1232,2016-03-31,70.22,0.10045447422034148,230,0.000416274674178263,0.0004367585835667021
1232 大統益,食品工業,1232,2016,2,2016-08-14,2016-08-15,11.355,0.5363636363636362,0.065575,1.0,76.76,1.0,1232,2016-11-14,79.6,0.03699843668577363,91,0.0003993151084762392,0.0004065762273161937
1232 大統益,食品工業,1232,2016,4,2017-03-31,2017-03-31,12.294999999999998,0.1751824817518248,0.0612,1.0,86.43,1.0,1232,2017-05-15,86.33,-0.0011570056693278596,45,-2.5725791688691046e-05,-2.571123709617466e-05
1301 台塑,塑膠工業,1301,2016,3,2016-11-14,2016-11-14,14.0425,0.08484848484848492,0.046124999999999985,1.0,80.89,1.0,1301,2017-05-15,84.6,0.04586475460501904,182,0.00024642628974191894,0.0002520041461814233
1303 南亞,塑膠工業,1303,2015,4,2016-03-31,2016-03-31,13.57,0.7105263157894737,0.0401,1.0,60.44,1.0,1303,2016-05-16,53.38,-0.11681005956320312,46,-0.0026966833434622917,-0.002539349120939198
1303 南亞,塑膠工業,1303,2016,4,2017-03-31,2017-03-31,14.482500000000005,4.169230769230769,0.05482500000000002,1.0,67.74,1.0,1303,2017-05-15,66.61,-0.016681428993209235,45,-0.00037375526863636654,-0.00037069842207131635
1305 華夏,塑膠工業,1305,2016,1,2016-05-15,2016-05-16,9.332499999999994,0.0857142857142858,0.040625,1.0,12.71,1.0,1305,2017-05-15,24.78,0.949645948072384,364,0.0018358803966871395,0.0026089174397592968
1307 三芳,塑膠工業,1307,2014,1,2014-05-15,2014-05-15,10.575,0.17741935483870966,0.04735,1.0,22.55,1.0,1307,2015-03-31,32.56,0.4439024390243902,320,0.0011486262764075494,0.0013871951219512194
1307 三芳,塑膠工業,1307,2015,3,2015-11-14,2015-11-16,12.1375,0.4745762711864408,0.040825,1.0,33.65,1.0,1307,2016-03-31,34.4,0.022288261515601704,136,0.00016209775619091538,0.00016388427585001253
